"orderid","orderdate","month_order","year_order","customerid","shipperid","sales","costs","profit","quantity","discount","freight","product","category","supplier","supplier_country","employeename","hiredate","office","reports_to","title","year_salary","profit2"
10248,2012-10-01,10,2012,4,2,343.44,284.37,59.07,12,0.00,43.48,Desperado Jeans,Men´s Clothes,Los Hombres Machos,Spain,Elvis Presley,1993-09-14,1,"",President,80000,15.59
10248,2012-10-01,10,2012,4,2,140.40,116.25,24.15,10,0.00,43.48,Balett Shoes,Ladies´Footwear,Asin Fashion Ltd Co,Singapore,Elvis Presley,1993-09-14,1,"",President,80000,-19.33
10248,2012-10-01,10,2012,4,2,63.55,52.62,10.93,5,0.00,43.48,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Elvis Presley,1993-09-14,1,"",President,80000,-32.55
10249,2011-10-01,10,2011,79,2,205.20,169.91,35.29,9,0.00,29.20,Kool Sunglasses,Children´s wear,SatSUMAs,Japan,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,6.09
10249,2011-10-01,10,2011,79,2,4048.00,3642.67,405.33,40,0.00,29.20,Snake Boots,Men´s Footwear,Cangaroo Shoes,Australia,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,376.13
10250,2012-10-05,10,2012,34,2,95.90,79.41,16.49,10,0.00,79.17,Duck Shirt,Babywear,Mayflower,USA,Elvis Presley,1993-09-14,1,"",President,80000,-62.68
10250,2012-10-05,10,2012,34,2,3931.22,2830.48,1100.74,35,512.77,79.17,Snake Boots,Men´s Footwear,Cangaroo Shoes,Australia,Elvis Presley,1993-09-14,1,"",President,80000,1021.57
10250,2012-10-05,10,2012,34,2,163.36,117.62,45.74,15,21.31,79.17,Stretch oui-pants,Womens wear,Big L,USA,Elvis Presley,1993-09-14,1,"",President,80000,-33.43
10251,2012-03-04,3,2012,1,2,21.36,16.84,4.52,6,1.02,43.41,Ravellis Träskor,Ladies´Footwear,Goa Kläder,Sweden,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-38.89
10251,2012-03-04,3,2012,1,2,332.64,288.14,44.50,15,15.84,43.41,Burned Rubber Shoes,Ladies´Footwear,Pirilli Company,Italy,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,1.09
10251,2012-03-04,3,2012,1,2,185.20,156.44,28.76,20,0.00,43.41,Stretch oui-pants,Womens wear,Big L,USA,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-14.65
10252,2012-07-06,7,2012,76,1,3189.06,2514.80,674.26,40,151.86,23.20,Tennis Suit,Sportwear,Hot Pants,UK,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,651.06
10252,2012-07-06,7,2012,76,1,620.55,489.35,131.20,25,29.55,23.20,Car Boots,Sportwear,Bar Åkeri,Norway,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,108.00
10252,2012-07-06,7,2012,76,1,182.00,150.70,31.30,40,0.00,23.20,Game Over T-Shirt,Sportwear,FrisersAfrong,France,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,8.10
10253,2012-10-07,10,2012,34,2,165.60,140.57,25.03,20,0.00,66.54,Rossi Bermuda Shorts,Bath Clothes,Ravenna Fashion,Italy,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-41.51
10253,2012-10-07,10,2012,34,2,2433.90,2015.27,418.63,42,0.00,66.54,Terence Top,Womens wear,Like Paradis,France,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,352.09
10253,2012-10-07,10,2012,34,2,796.40,659.42,136.98,40,0.00,66.54,Finnish Sport Blades,Sportwear,Nordik Koskenkorva,Finland,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,70.44
10254,2011-04-08,4,2011,19,2,77.97,56.14,21.83,15,10.17,49.18,Samba Socker  Socks,Men´s Clothes,Samba,Brazil,Elvis Presley,1993-09-14,1,"",President,80000,-27.35
10254,2011-04-08,4,2011,19,2,984.35,708.73,275.62,21,128.39,49.18,Feiss Fleece Trousers,Sportwear,Mountain International,Canada,Elvis Presley,1993-09-14,1,"",President,80000,226.44
10254,2011-04-08,4,2011,19,2,617.40,511.21,106.19,21,0.00,49.18,Nikee Running Shoes,Children´s wear,Nitsuchiba,Japan,Elvis Presley,1993-09-14,1,"",President,80000,57.01
10255,2012-09-09,9,2012,68,1,342.40,283.51,58.89,20,0.00,43.89,Mr X Trousers,Men´s Clothes,Sunny Clothes,UK,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,15.00
